Enhetsnavn;EnhetsId;Fylke;Kommune;Skoletype;Vurderingsområde;Statistikk;Indikator/delskår;Periode;Eierform;Trinn;Kjønn;Verdi;Måleenhet
Hatlane skole;912666077;Møre og Romsdal fylke;Ålesund kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;63;Antall personer
Hatteng skole;975285200;Troms og Finnmark fylke;Storfjord kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;21;Antall personer
Hattfjelldal oppvekstsenter - Avd skole;975286789;Nordland fylke;Hattfjelldal kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;21;Antall personer
Haug skole og ressurssenter;974552280;Viken fylke;Bærum kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;47;Antall personer
Hauge Oppvekst - Avd skule;975276651;Vestland fylke;Bremanger kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;20;Antall personer
Hauge skole;974565706;Viken fylke;Fredrikstad kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;20;Antall personer
Hauge skole;975276007;Rogaland fylke;Haugesund kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;32;Antall personer
Haugen skole;874590452;Oslo fylke;Oslo kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;55;Antall personer
Haugen skule;975276880;Vestland fylke;Stad kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;7;Antall personer
Haugenstua skole;974590549;Oslo fylke;Oslo kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;72;Antall personer
Hauger skole;974552345;Viken fylke;Bærum kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;39;Antall personer
Haugerud skole;974590557;Oslo fylke;Oslo kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;42;Antall personer
Haugesund International School (privat);915261108;Rogaland fylke;Karmøy kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Privat;Alle trinn;Begge kjønn;9;Antall personer
Haugeåsen ungdomsskole;973871935;Viken fylke;Fredrikstad kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;49;Antall personer
Haugjordet ungdomsskole;974593572;Viken fylke;Nordre Follo kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;51;Antall personer
Haugland skole;975287505;Vestland fylke;Askøy kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;13;Antall personer
